run_id,primitive_id,primitive_name,sem,scope,block_size,dtype,src_rank,dst_rank,buffer_bytes,n_elements,rep_idx,time_ms,bandwidth_gibps,world_size,gpu_arch,hostname,ts_unix
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,17,0.383110,81.5693,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,18,0.383471,81.4925,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,19,0.381266,81.9638,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,20,0.368678,84.7623,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,21,0.385075,81.1530,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,22,0.381868,81.8346,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,23,0.379783,82.2838,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,24,0.375814,83.1528,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,0,0.377097,82.8699,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,1,0.379582,82.3274,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,2,0.375934,83.1263,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
