row_id,timestamp,gpu,dcc_mode,ordering,block,wgp,rep,mean_us,std_us,atomic_gops_s,tcc_dcc_hit,tcc_dcc_miss,tcp_tcc_atomic_req,sq_wait_proxy,status
133,1778532409.5449362,gfx942,dcc_disabled,RELAXED,128,32,7,23.4692,1.6819,0.1745,0,0,4096,2346,ok
134,1778532409.5458376,gfx942,dcc_disabled,RELAXED,128,32,8,22.7194,0.9070,0.1803,0,0,4096,2271,ok
135,1778532409.546722,gfx942,dcc_disabled,RELAXED,128,32,9,22.9021,1.8249,0.1788,0,0,4096,2290,ok
136,1778532409.547599,gfx942,dcc_disabled,RELAXED,128,32,10,23.2367,1.9499,0.1763,0,0,4096,2323,ok
137,1778532409.5484796,gfx942,dcc_disabled,RELAXED,128,32,11,23.1746,1.8264,0.1767,0,0,4096,2317,ok
138,1778532409.5493722,gfx942,dcc_disabled,RELAXED,128,32,12,23.1165,2.2790,0.1772,0,0,4096,2311,ok
139,1778532409.5502818,gfx942,dcc_disabled,RELAXED,128,32,13,23.1024,1.4864,0.1773,0,0,4096,2310,ok
140,1778532409.5511808,gfx942,dcc_disabled,RELAXED,128,32,14,22.6314,1.6374,0.1810,0,0,4096,2263,ok
141,1778532409.5520563,gfx942,dcc_disabled,RELAXED,128,32,15,23.2428,1.9405,0.1762,0,0,4096,2324,ok
142,1778532409.552949,gfx942,dcc_disabled,RELAXED,128,32,16,23.2868,1.8897,0.1759,0,0,4096,2328,ok
143,1778532409.5538392,gfx942,dcc_disabled,RELAXED,128,32,17,23.0444,3.0134,0.1777,0,0,4096,2304,ok
144,1778532409.5547078,gfx942,dcc_disabled,RELAXED,128,32,18,22.8397,1.9784,0.1793,0,0,4096,2283,ok
145,1778532409.5555902,gfx942,dcc_disabled,RELAXED,128,32,19,23.1024,2.0844,0.1773,0,0,4096,2310,ok
146,1778532409.556463,gfx942,dcc_disabled,RELAXED,128,32,20,22.8378,2.2085,0.1794,0,0,4096,2283,ok
147,1778532409.5573323,gfx942,dcc_disabled,RELAXED,128,32,21,23.1124,1.7573,0.1772,0,0,4096,2311,ok
148,1778532409.5582154,gfx942,dcc_disabled,RELAXED,128,32,22,23.0442,1.6089,0.1777,0,0,4096,2304,ok
149,1778532409.5590942,gfx942,dcc_disabled,RELAXED,128,32,23,22.5209,1.4364,0.1819,0,0,4096,2252,ok
150,1778532409.559961,gfx942,dcc_disabled,RELAXED,128,32,24,23.0702,1.4352,0.1775,0,0,4096,2307,ok
151,1778532409.5608366,gfx942,dcc_disabled,RELAXED,128,64,0,22.9137,1.6648,0.3575,0,0,8192,2291,ok
