corpus_version,prim,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc
v45,P3,1,3,128,13,171.1962,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,14,167.8031,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,15,164.6921,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,16,168.9680,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,17,171.7701,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,18,166.0760,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,19,166.2120,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,20,170.0192,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,21,173.1841,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,22,160.7260,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,23,165.9489,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,24,172.9890,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,4,8,0,34.8210,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,1,31.5090,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,2,30.4121,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,3,28.9900,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,4,31.0461,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,5,29.6552,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,6,28.9970,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,7,29.2989,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,8,29.6549,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,9,29.5269,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,10,29.6170,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,11,29.9250,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,12,28.3010,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,13,29.8331,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,14,31.8291,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,15,30.5281,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,16,30.9600,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,17,28.9110,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,18,29.0661,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,19,31.3390,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,20,28.9520,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,21,29.8440,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,22,29.0130,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,23,29.0012,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,8,24,28.6840,gfx942,b21u01,2026-05-11T06:04:26.862850+00:00
v45,P3,1,4,16,0,44.6381,gfx942,b21u01,2026-05-11T06:04:26.909633+00:00
v45,P3,1,4,16,1,42.7640,gfx942,b21u01,2026-05-11T06:04:26.909633+00:00
v45,P3,1,4,16,2,41.3342,gfx942,b21u01,2026-05-11T06:04:26.909633+00:00
v45,P3,1,4,16,3,39.9111,gfx942,b21u01,2026-05-11T06:04:26.909633+00:00
v45,P3,1,4,16,4,38.1570,gfx942,b21u01,2026-05-11T06:04:26.909633+00:00
v45,P3,1,4,16,5,39.2059,gfx942,b21u01,2026-05-11T06:04:26.909633+00:00
