corpus_version,prim,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc,timer
v45,M3,4,4,32,145,36.6430,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,146,36.6040,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,147,36.2420,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,148,36.3620,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,149,36.6440,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,150,38.6080,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,151,38.5270,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,152,32.1530,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,153,35.6810,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,154,36.0010,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,155,36.2420,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,156,35.6810,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,157,35.7210,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,158,35.7210,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,159,35.8820,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,160,37.4450,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,161,36.3620,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,162,36.7640,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,163,36.5230,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,164,36.1620,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,165,37.2050,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,166,37.7660,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,167,37.7660,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,168,36.8430,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,169,36.9640,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,170,36.9240,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,171,35.4000,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,172,36.5630,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,173,34.7590,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,174,36.4430,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,175,35.4400,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,176,35.6010,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,177,34.3980,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,178,36.2020,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,179,37.3250,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,180,35.2800,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,181,36.2420,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,182,35.6410,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,183,37.7250,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,184,35.5610,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,185,36.4420,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,186,36.4830,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,187,35.8010,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,188,36.8840,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,189,36.9230,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,190,36.0820,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,191,31.9930,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,192,35.9620,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,193,35.8410,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,194,36.2420,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,195,34.7590,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,196,35.7210,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,197,35.2400,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,198,35.9210,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,199,35.9210,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,N3,4,4,32,0,45.0220,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,1,39.0480,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,2,36.6830,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,3,38.0870,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,4,38.6080,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,5,40.0100,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,6,37.8460,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,7,35.5610,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,8,38.0860,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,9,38.1670,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,10,36.0420,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,11,36.4820,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,12,37.5250,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,13,36.2020,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,14,36.0820,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,15,36.5630,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,16,39.1690,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,17,40.2520,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,18,37.2050,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,19,37.9670,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
